item_title,organization_or_seller,price_or_budget,quantity,category_or_department,date_posted,date_closing,detail_page_link,location,tender_id_or_reference,price_or_budget_raw,quantity_raw,date_posted_raw,date_closing_raw,source_site,scraped_at_utc
60MM ENDOSCOPIC LINEAR CUTTER ...,Ministry of Defence Department of Military Affairs,,336,Product,2026-04-04,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9017086,New Delhi (Central Govt),GEM/2026/B/7266566,,60MM ENDOSCOPIC LINEAR CUTTER ... Quantity: 336 Department Name And Address: Ministry of Defence Department of Military Affairs Start Date: 04-04-2026 8:43 AM End Date: 25-04-2026 9:00 AM,04-04-2026 8:43 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:34.230448+00:00
"75 KW Model: ATV630D75N4, L&T ...",Ministry of Petroleum and Natural Gas INDIAN OIL CORPORATION LIMITED,,5,Product,2026-03-24,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9156056,New Delhi (Central Govt),GEM/2026/B/7385384,,"75 KW Model: ATV630D75N4, L&T ... Quantity: 5 Department Name And Address: Ministry of Petroleum and Natural Gas INDIAN OIL CORPORATION LIMITED Start Date: 24-03-2026 3:55 PM End Date: 25-04-2026 9:00 AM",24-03-2026 3:55 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:45.393515+00:00
AI BASED RUSSIAN TO ENGLISH TR...,Ministry of Defence Department of Defence Production,,1,Product,2026-03-19,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9138101,New Delhi (Central Govt),GEM/2026/B/7370376,,AI BASED RUSSIAN TO ENGLISH TR... Quantity: 1 Department Name And Address: Ministry of Defence Department of Defence Production Start Date: 19-03-2026 1:52 PM End Date: 25-04-2026 9:00 AM,19-03-2026 1:52 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:45.206859+00:00
AMC for VHF Handset P8668 Ex V...,Ministry of Petroleum and Natural Gas NA,,14761,Service,2026-04-14,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9218559,New Delhi (Central Govt),GEM/2026/B/7440363,,AMC for VHF Handset P8668 Ex V... Quantity: 14761 Department Name And Address: Ministry of Petroleum and Natural Gas NA Start Date: 14-04-2026 12:05 AM End Date: 25-04-2026 9:00 AM,14-04-2026 12:05 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:30.203894+00:00
Borated Polyethylene Sheet- it...,PMO Department of Atomic Energy,,90,Product,2026-04-04,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9167836,India,GEM/2026/B/7395692,,Borated Polyethylene Sheet- it... Quantity: 90 Department Name And Address: PMO Department of Atomic Energy Start Date: 04-04-2026 8:52 AM End Date: 25-04-2026 9:00 AM,04-04-2026 8:52 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:34.294689+00:00
Calibration Services - CALIBRA...,Ministry of Defence Department of Military Affairs,,1,Service,2026-04-15,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9222774,New Delhi (Central Govt),GEM/2026/B/7444115,,Calibration Services - CALIBRA... Quantity: 1 Department Name And Address: Ministry of Defence Department of Military Affairs Start Date: 15-04-2026 5:45 PM End Date: 25-04-2026 9:00 AM,15-04-2026 5:45 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:38.088303+00:00
"Channel Volume Switch,Helical ...",Ministry of Defence Department of Military Affairs,,75,Product,2026-03-30,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9175486,New Delhi (Central Govt),GEM/2026/B/7402043,,"Channel Volume Switch,Helical ... Quantity: 75 Department Name And Address: Ministry of Defence Department of Military Affairs Start Date: 30-03-2026 12:50 PM End Date: 25-04-2026 9:00 AM",30-03-2026 12:50 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:45.182657+00:00
Cheese Spread DEFENCE FOOD SPE...,Ministry of Defence Department of Military Affairs,,175,Product,2026-04-14,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9187427,New Delhi (Central Govt),GEM/2026/B/7412679,,Cheese Spread DEFENCE FOOD SPE... Quantity: 175 Department Name And Address: Ministry of Defence Department of Military Affairs Start Date: 14-04-2026 11:18 AM End Date: 25-04-2026 9:00 AM,14-04-2026 11:18 AM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:30.171982+00:00
Custom Bid for Services - Annu...,Ministry of Power NA,1082232,1,Service,2026-03-04,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9173175,New Delhi (Central Govt),GEM/2026/B/7400188,Bid Value: 1082232,Custom Bid for Services - Annu... Quantity: 1 Department Name And Address: Ministry of Power NA Start Date: 03-04-2026 4:32 PM End Date: 25-04-2026 9:00 AM,03-04-2026 4:32 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:34.441052+00:00
Custom Bid for Services - RFP ...,Ministry of Defence Department of Defence Production,,1,Service,2026-04-04,2026-04-25,https://bidplus.gem.gov.in/showbidDocument/9184283,New Delhi (Central Govt),GEM/2026/B/7409849,,Custom Bid for Services - RFP ... Quantity: 1 Department Name And Address: Ministry of Defence Department of Defence Production Start Date: 04-04-2026 3:37 PM End Date: 25-04-2026 9:00 AM,04-04-2026 3:37 PM,25-04-2026 9:00 AM,GeM India (Government e-Marketplace),2026-04-24T17:08:34.499571+00:00
